"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"14D","1414 DEGREES LIMITED","Capital Goods","12/09/2018",8835875
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2016",10155105
"1AE","AURORA ENERGY METALS LIMITED","Materials","18/05/2022",11818207
"1AG","ALTERRA LIMITED","Food, Beverage & Tobacco","16/05/2008",6268973
"1CG","ONE CLICK GROUP LIMITED","Capital Goods","28/04/2017",11674119
"1MC","MORELLA CORPORATION LIMITED","Materials","08/01/2001",42690063
"1ST","1ST GROUP LIMITED","Health Care Equipment & Services","09/06/2015",12752921
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services","09/07/2015",9788510
"29M","29METALS LIMITED","Materials","02/07/2021",388075881
"360","LIFE360 INC.","Software & Services","10/05/2019",1531776536
"3DA","AMAERO INTERNATIONAL LTD","Capital Goods","06/12/2019",56274104
"3DP","POINTERRA LIMITED","Software & Services","27/03/2008",94892869
"3MF","3D METALFORGE LIMITED","Commercial & Professional Services","02/03/2021","SUSPENDED"
"3PL","3P LEARNING LIMITED..","Consumer Services","09/07/2014",304132587
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment","09/12/2010",53873926
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services","07/08/2020",234690149
"5EA","5E ADVANCED MATERIALS INC.","Materials","01/03/2022",223132584
"5GG","PENTANET LIMITED","Telecommunication Services","29/01/2021",37372721
"88E","88 ENERGY LIMITED","Energy","20/01/2000",140755078
"8CO","8COMMON LIMITED","Software & Services","27/08/2014",18599877
"8IH","8I HOLDINGS LTD","Financial Services","17/12/2014",7861832
"8VI","8VI HOLDINGS LIMITED","Consumer Services","16/12/2015",8382284
"92E","92 ENERGY LIMITED","Energy","15/04/2021",31380655
"A11","ATLANTIC LITHIUM LIMITED","Materials","26/09/2022",261973914
"A1G","AFRICAN GOLD LTD.","Materials","14/02/2019",9481428
"A1M","AIC MINES LIMITED","Materials","04/11/1993",184988253
"A1N","ARN MEDIA LIMITED","Media & Entertainment","07/05/1992",315488638
"A2B","A2B AUSTRALIA LIMITED","Transportation","14/12/1999",202455241
"A2M","THE A2 MILK COMPANY LIMITED","Food, Beverage & Tobacco","31/03/2015",3689298454
"A3D","AURORA LABS LIMITED","Capital Goods","16/08/2016",5161969
"A4N","ALPHA HPA LIMITED","Materials","22/10/2007",1019645300
"A8G","AUSTRALASIAN METALS LIMITED","Materials","13/05/2021",8078677
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","Food, Beverage & Tobacco","10/08/2001",907163954
"AAJ","ARUMA RESOURCES LIMITED","Materials","23/07/2010",7651872
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","Food, Beverage & Tobacco","07/01/2004",4271393
"AAR","ASTRAL RESOURCES NL","Materials","13/11/1986",51825820
"AAU","ANTILLES GOLD LIMITED","Materials","25/11/1993",18890659
"ABA","AUSWIDE BANK LTD","Banks","19/09/1994",256617480
"ABB","AUSSIE BROADBAND LIMITED","Telecommunication Services","16/10/2020",665511025
"ABC","ADBRI LIMITED","Materials","31/05/1962",1639857153
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","Financial Services","06/12/2021",16080199
"ABPDA","ABACUS PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","14/11/2002","--"
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","Automobiles & Components","28/05/2002",15937612
"ABX","ABX GROUP LIMITED","Materials","24/12/2009",21464718
"ABY","ADORE BEAUTY GROUP LIMITED","Consumer Discretionary Distribution & Retail","23/10/2020",94846446
"AC8","AUSCANN GROUP HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","03/05/1989","SUSPENDED"
"ACB","A-CAP ENERGY LIMITED","Energy","19/05/2006",70248800
"ACEDB","ACUSENSUS LIMITED.","Software & Services","12/01/2023","--"
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","Capital Goods","27/06/2008",218398026
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","Health Care Equipment & Services","14/05/2021",670088930
"ACM","AUSTRALIAN CRITICAL MINERALS LIMITED","Class Pend","03/07/2023",8270939
"ACP","AUDALIA RESOURCES LIMITED","Materials","06/07/2011",7613498
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","Not Applic","01/05/2014",87788374
"ACR","ACRUX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/09/2004",14120597
"ACS","ACCENT RESOURCES NL","Materials","26/08/2005",3785018
"ACU","ACUMENTIS GROUP LIMITED","Real Estate Management & Development","05/12/2003",15926746
"ACW","ACTINOGEN MEDICAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2007",67201330
"AD1","AD1 HOLDINGS LIMITED","Media & Entertainment","23/06/2016",6580551
"AD8","AUDINATE GROUP LIMITED","Technology Hardware & Equipment","30/06/2017",716430251
"ADA","ADACEL TECHNOLOGIES LIMITED","Software & Services","27/02/1998",44210494
"ADC","ACDC METALS LTD","Materials","17/01/2023",5675953
"ADD","ADAVALE RESOURCES LIMITED","Energy","06/02/1992",8373275
"ADG","ADELONG GOLD LIMITED","Materials","21/03/2007",5366901
"ADH","ADAIRS LIMITED","Consumer Discretionary Distribution & Retail","17/06/2015",311491768
"ADN","ANDROMEDA METALS LIMITED","Materials","17/09/1996",96418399
